"Group","Url","Expected","Actual","Result"
"sitemap","https://aajconsult.com/blog/how-to-do-abm-as-a-startup/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/pricing-mistakes-that-kill-startup-growth/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/digital-ads-early-stage-startups-guide-2026/","200","200","PASS"
"sitemap","https://aajconsult.com/case-studies/acmeflow-b2b-saas/","200","200","PASS"
"sitemap","https://aajconsult.com/case-studies/focusgummy-dtc-launch/","200","200","PASS"
"sitemap","https://aajconsult.com/case-studies/fitmax-competitor-audit/","200","200","PASS"
"sitemap","https://aajconsult.com/case-studies/community-table-nonprofit/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/how-to-hire-marketing-consultant-startup/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/fractional-cmo-cost-guide-2026/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/saas-pricing-models-seat-usage-hybrid","200","200","PASS"
"sitemap","https://aajconsult.com/blog/startup-positioning-obvious-choice","200","200","PASS"
"sitemap","https://aajconsult.com/blog/tailor-content-for-marketing-channels/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/ab-testing-complete-guide/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/go-to-market-strategy-examples/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/marketing-strategy-for-startups/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/how-much-should-a-startup-spend-on-marketing/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/marketing-tech-stack-startups/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/marketing-system-that-runs-without-you/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/practical-ways-to-use-ai-in-your-marketing-without-losing-your-voice/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/marketing-analytics-strategic-growth-lever/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/how-to-choose-a-crm-for-your-startup/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/omnichannel-growth/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/mmm-lite-for-startups/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/dark-social-b2b-demand-generation/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/incrementality-testing-for-startups/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/demand-creation-vs-capture/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/marketing-budget-roi/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/get-found-online-seo-geo-aeo-us-b2b/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/social-media-strategy/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/content-is-king/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/marketing-strategy-roadmap/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/90-Day-Growth-Playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/analytics-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/analytics-b2c-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/product-launch-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/product-launch-b2c-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/foundations-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/foundations-b2c-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/website-cro-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/website-cro-b2c-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/agentic-ai-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/customer-onboarding-retention-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/demand-gen-performance-marketing-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/pricing-packaging-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/ai-agents-changing-marketing-discoverability/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/core-marketing-principles-age-of-ai/","200","200","PASS"
"sitemap","https://aajconsult.com/blog/pipeline-full-nothing-closing","200","200","PASS"
"sitemap","https://aajconsult.com/blog/ltv-cac-which-number-to-fix","200","200","PASS"
"sitemap","https://aajconsult.com/blog/what-is-geo-ai-citations","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/digital-advertising-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/abm-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/franchise-marketing-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/geo-aeo-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/content-creation-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/survey-playbook/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/pipeline-coverage-forecasting/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/icp-account-scoring/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/saas-pricing-packaging/","200","200","PASS"
"sitemap","https://aajconsult.com/playbooks/win-loss-analysis/","200","200","PASS"
"sitemap","https://aajconsult.com/privacy/","200","200","PASS"
"sitemap","https://aajconsult.com/terms/","200","200","PASS"
"sitemap","https://aajconsult.com/cookies/","200","200","PASS"
"sitemap","https://aajconsult.com/sitemap/","200","200","PASS"
"sitemap","https://aajconsult.com/resources/startup-marketing-plan","200","200","PASS"
"sitemap","https://aajconsult.com/resources/marketing-budget-planner","200","200","PASS"
"sitemap","https://aajconsult.com/resources/positioning-messaging-workbook","200","200","PASS"
"sitemap","https://aajconsult.com/resources/sales-pipeline-forecast-tracker","200","200","PASS"
"sitemap","https://aajconsult.com/resources/mmm-lite-starter-kit","200","200","PASS"
"sitemap","https://aajconsult.com/resources/ai-visibility-starter-kit","200","200","PASS"
"sitemap","https://aajconsult.com/resources/content-calendar-repurposing-tracker","200","200","PASS"
"sitemap","https://aajconsult.com/resources/icp-target-account-scorecard","200","200","PASS"
"sitemap","https://aajconsult.com/resources/marketing-kpi-board-report","200","200","PASS"
"sitemap","https://aajconsult.com/resources/launch-plan-checklist","200","200","PASS"
"sitemap","https://aajconsult.com/resources/retention-nrr-workbook","200","200","PASS"
"sitemap","https://aajconsult.com/resources","200","200","PASS"
"sitemap","https://aajconsult.com/templates","200","200","PASS"
"sitemap","https://aajconsult.com/services/mmm-lite-sprint/","200","200","PASS"
"sitemap","https://aajconsult.com/services/gtm-pipeline-sprint/","200","200","PASS"
"sitemap","https://aajconsult.com/services/fractional-marketing-leadership/","200","200","PASS"
"sitemap","https://aajconsult.com/services/positioning-sprint/","200","200","PASS"
"sitemap","https://aajconsult.com/services/ai-visibility-sprint/","200","200","PASS"
"wellknown","https://aajconsult.com/robots.txt","200","200","PASS"
"wellknown","https://aajconsult.com/sitemap.xml","200","200","PASS"
"wellknown","https://aajconsult.com/llms.txt","200","200","PASS"
"wellknown","https://aajconsult.com/llms-full.txt","200","200","PASS"
"wellknown","https://aajconsult.com/favicon.ico","200","200","PASS"
"nonsense","https://aajconsult.com/_probe_nonsense_20260802185514","404","200","FAIL"
"nonsense","https://aajconsult.com/pricing/_probe_deeper_20260802185514","404","200","FAIL"
"nonsense","https://aajconsult.com/blog/_probe_missing_post_20260802185514","404","200","FAIL"
"nonsense","https://aajconsult.com/tools/_probe_missing_tool_20260802185514","404","200","FAIL"
"nonsense","https://aajconsult.com/about/extra/segment/20260802185514","404","200","FAIL"
"markdown","https://aajconsult.com/ (Accept: text/markdown)","200","200","PASS"
